"","doc_id","text"
"110","110"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"111","111"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"112","112"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"113","113","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"114","114"," comentarios murio hoy ojala cierto suele detallo"
"115","115"," hartos reactivos hagan prueba sospechosos ecuador google map "
"116","116"," vez menos texto tal signos vitales"
"117","117","cabe preguntar tantas mentiras parte cartera "
"118","118","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"119","119"," ecuador momento"
"120","120","si despues tiempo pasado coronavirus"
"121","121","escriban bien senoresministerio salud publicano usan articulos verguenza"
"122","122"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"123","123"," atencion oportuna si medicina sintomatica dando"
"124","124"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"125","125","bueno jasta informar resultados tanta vuelta digan vez"
"126","126","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"127","127","seria bueno desmientan entonces empezando circular redes imagen"
"128","128"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"129","129"," paso resultados paciente"
"130","130","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"131","131"," mismo hacen misadelos dias usteds siguen mentira"
"132","132"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"133","133"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"134","134"," comento despidiendo mucha gente sector publico"
"135","135"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"136","136"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"137","137"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"138","138","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"139","139"," comentarios murio hoy ojala cierto suele detallo"
"140","140"," hartos reactivos hagan prueba sospechosos ecuador google map "
"141","141"," vez menos texto tal signos vitales"
"142","142","cabe preguntar tantas mentiras parte cartera "
"143","143","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"144","144"," ecuador momento"
"145","145","si despues tiempo pasado coronavirus"
"146","146","escriban bien senoresministerio salud publicano usan articulos verguenza"
"147","147"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"148","148"," atencion oportuna si medicina sintomatica dando"
"149","149"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"150","150","bueno jasta informar resultados tanta vuelta digan vez"
"151","151","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"152","152","seria bueno desmientan entonces empezando circular redes imagen"
"153","153"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"154","154"," paso resultados paciente"
"155","155","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"156","156"," mismo hacen misadelos dias usteds siguen mentira"
"157","157"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"158","158"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"159","159"," comento despidiendo mucha gente sector publico"
"160","160"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"161","161"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"162","162"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"163","163","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"164","164"," comentarios murio hoy ojala cierto suele detallo"
"165","165"," hartos reactivos hagan prueba sospechosos ecuador google map "
"166","166"," vez menos texto tal signos vitales"
"167","167","cabe preguntar tantas mentiras parte cartera "
"168","168","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"169","169"," ecuador momento"
"170","170","si despues tiempo pasado coronavirus"
"171","171","escriban bien senoresministerio salud publicano usan articulos verguenza"
"172","172"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"173","173"," atencion oportuna si medicina sintomatica dando"
"174","174"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"175","175","bueno jasta informar resultados tanta vuelta digan vez"
"176","176","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"177","177","seria bueno desmientan entonces empezando circular redes imagen"
"178","178"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"179","179"," paso resultados paciente"
"180","180","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"181","181"," mismo hacen misadelos dias usteds siguen mentira"
"182","182"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"183","183"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"184","184"," comento despidiendo mucha gente sector publico"
"185","185"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"186","186"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"187","187"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"188","188","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"189","189"," comentarios murio hoy ojala cierto suele detallo"
"190","190"," hartos reactivos hagan prueba sospechosos ecuador google map "
"191","191"," vez menos texto tal signos vitales"
"192","192","cabe preguntar tantas mentiras parte cartera "
"193","193","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"194","194"," ecuador momento"
"195","195","si despues tiempo pasado coronavirus"
"196","196","escriban bien senoresministerio salud publicano usan articulos verguenza"
"197","197"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"198","198"," atencion oportuna si medicina sintomatica dando"
"199","199"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"200","200","bueno jasta informar resultados tanta vuelta digan vez"
"201","201","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"202","202","seria bueno desmientan entonces empezando circular redes imagen"
"203","203"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"204","204"," paso resultados paciente"
"205","205","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"206","206"," mismo hacen misadelos dias usteds siguen mentira"
"207","207"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"208","208"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"209","209"," comento despidiendo mucha gente sector publico"
"210","210"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"211","211"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"212","212"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"213","213","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"214","214"," comentarios murio hoy ojala cierto suele detallo"
"215","215"," hartos reactivos hagan prueba sospechosos ecuador google map "
"216","216"," vez menos texto tal signos vitales"
"217","217","cabe preguntar tantas mentiras parte cartera "
"218","218","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"219","219"," ecuador momento"
"220","220","si despues tiempo pasado coronavirus"
"221","221","escriban bien senoresministerio salud publicano usan articulos verguenza"
"222","222"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"223","223"," atencion oportuna si medicina sintomatica dando"
"224","224"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"225","225","bueno jasta informar resultados tanta vuelta digan vez"
"226","226","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"227","227","seria bueno desmientan entonces empezando circular redes imagen"
"228","228"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"229","229"," paso resultados paciente"
"230","230","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"231","231"," mismo hacen misadelos dias usteds siguen mentira"
"232","232"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"233","233"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"234","234"," comento despidiendo mucha gente sector publico"
"235","235"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"236","236"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"237","237"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"238","238","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"239","239"," comentarios murio hoy ojala cierto suele detallo"
"240","240"," hartos reactivos hagan prueba sospechosos ecuador google map "
"241","241"," vez menos texto tal signos vitales"
"242","242","cabe preguntar tantas mentiras parte cartera "
"243","243","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"244","244"," ecuador momento"
"245","245","si despues tiempo pasado coronavirus"
"246","246","escriban bien senoresministerio salud publicano usan articulos verguenza"
"247","247"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"248","248"," atencion oportuna si medicina sintomatica dando"
"249","249"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"250","250","bueno jasta informar resultados tanta vuelta digan vez"
"251","251","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"252","252","seria bueno desmientan entonces empezando circular redes imagen"
"253","253"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"254","254"," paso resultados paciente"
"255","255","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"256","256"," mismo hacen misadelos dias usteds siguen mentira"
"257","257"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"258","258"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"259","259"," comento despidiendo mucha gente sector publico"
"260","260"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"261","261"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"262","262"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"263","263","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"264","264"," comentarios murio hoy ojala cierto suele detallo"
"265","265"," hartos reactivos hagan prueba sospechosos ecuador google map "
"266","266"," vez menos texto tal signos vitales"
"267","267","cabe preguntar tantas mentiras parte cartera "
"268","268","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"269","269"," ecuador momento"
"270","270","si despues tiempo pasado coronavirus"
"271","271","escriban bien senoresministerio salud publicano usan articulos verguenza"
"272","272"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"273","273"," atencion oportuna si medicina sintomatica dando"
"274","274"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"275","275","bueno jasta informar resultados tanta vuelta digan vez"
"276","276","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"277","277","seria bueno desmientan entonces empezando circular redes imagen"
"278","278"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"279","279"," paso resultados paciente"
"280","280","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"281","281"," mismo hacen misadelos dias usteds siguen mentira"
"282","282"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"283","283"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"284","284"," comento despidiendo mucha gente sector publico"
"285","285"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"286","286"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"287","287"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"288","288","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"289","289"," comentarios murio hoy ojala cierto suele detallo"
"290","290"," hartos reactivos hagan prueba sospechosos ecuador google map "
"291","291"," vez menos texto tal signos vitales"
"292","292","cabe preguntar tantas mentiras parte cartera "
"293","293","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"294","294"," ecuador momento"
"295","295","si despues tiempo pasado coronavirus"
"296","296","escriban bien senoresministerio salud publicano usan articulos verguenza"
"297","297"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"298","298"," atencion oportuna si medicina sintomatica dando"
"299","299"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"300","300","bueno jasta informar resultados tanta vuelta digan vez"
"301","301","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"302","302","seria bueno desmientan entonces empezando circular redes imagen"
"303","303"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"304","304"," paso resultados paciente"
"305","305","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"306","306"," mismo hacen misadelos dias usteds siguen mentira"
"307","307"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"308","308"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"309","309"," comento despidiendo mucha gente sector publico"
"310","310"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"311","311"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"312","312"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"313","313","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"314","314"," comentarios murio hoy ojala cierto suele detallo"
"315","315"," hartos reactivos hagan prueba sospechosos ecuador google map "
"316","316"," vez menos texto tal signos vitales"
"317","317","cabe preguntar tantas mentiras parte cartera "
"318","318","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"319","319"," ecuador momento"
"320","320","si despues tiempo pasado coronavirus"
"321","321","escriban bien senoresministerio salud publicano usan articulos verguenza"
"322","322"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"323","323"," atencion oportuna si medicina sintomatica dando"
"324","324"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"325","325","bueno jasta informar resultados tanta vuelta digan vez"
"326","326","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"327","327","seria bueno desmientan entonces empezando circular redes imagen"
"328","328"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"329","329"," paso resultados paciente"
"330","330","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"331","331"," mismo hacen misadelos dias usteds siguen mentira"
"332","332"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"333","333"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"334","334"," comento despidiendo mucha gente sector publico"
