"","text","emotion"
"126","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"127","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"128"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"129"," paso resultados paciente","Neutral"
"130","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"131"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"132"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"133"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"134"," comento despidiendo mucha gente sector publico","Neutral"
"135"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"136"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"137"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"138","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"139"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"140"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"141"," vez menos texto tal signos vitales","Neutral"
"142","cabe preguntar tantas mentiras parte cartera ","Neutral"
"143","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"144"," ecuador momento","Neutral"
"145","si despues tiempo pasado coronavirus","Neutral"
"146","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"147"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"148"," atencion oportuna si medicina sintomatica dando","Neutral"
"149"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"150","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"151","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"152","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"153"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"154"," paso resultados paciente","Neutral"
"155","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"156"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"157"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"158"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"159"," comento despidiendo mucha gente sector publico","Neutral"
"160"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"161"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"162"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"163","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"164"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"165"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"166"," vez menos texto tal signos vitales","Neutral"
"167","cabe preguntar tantas mentiras parte cartera ","Neutral"
"168","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"169"," ecuador momento","Neutral"
"170","si despues tiempo pasado coronavirus","Neutral"
"171","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"172"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"173"," atencion oportuna si medicina sintomatica dando","Neutral"
"174"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"175","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"176","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"177","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"178"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"179"," paso resultados paciente","Neutral"
"180","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"181"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"182"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"183"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"184"," comento despidiendo mucha gente sector publico","Neutral"
"185"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"186"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"187"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"188","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"189"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"190"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"191"," vez menos texto tal signos vitales","Neutral"
"192","cabe preguntar tantas mentiras parte cartera ","Neutral"
"193","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"194"," ecuador momento","Neutral"
"195","si despues tiempo pasado coronavirus","Neutral"
"196","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"197"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"198"," atencion oportuna si medicina sintomatica dando","Neutral"
"199"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"200","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"201","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"202","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"203"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"204"," paso resultados paciente","Neutral"
"205","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"206"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"207"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"208"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"209"," comento despidiendo mucha gente sector publico","Neutral"
"210"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"211"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"212"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"213","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"214"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"215"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"216"," vez menos texto tal signos vitales","Neutral"
"217","cabe preguntar tantas mentiras parte cartera ","Neutral"
"218","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"219"," ecuador momento","Neutral"
"220","si despues tiempo pasado coronavirus","Neutral"
"221","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"222"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"223"," atencion oportuna si medicina sintomatica dando","Neutral"
"224"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"225","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"226","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"227","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"228"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"229"," paso resultados paciente","Neutral"
"230","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"231"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"232"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"233"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"234"," comento despidiendo mucha gente sector publico","Neutral"
"235"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"236"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"237"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"238","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"239"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"240"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"241"," vez menos texto tal signos vitales","Neutral"
"242","cabe preguntar tantas mentiras parte cartera ","Neutral"
"243","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"244"," ecuador momento","Neutral"
"245","si despues tiempo pasado coronavirus","Neutral"
"246","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"247"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"248"," atencion oportuna si medicina sintomatica dando","Neutral"
"249"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"250","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"251","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"252","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"253"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"254"," paso resultados paciente","Neutral"
"255","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"256"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"257"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"258"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"259"," comento despidiendo mucha gente sector publico","Neutral"
"260"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"261"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"262"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"263","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"264"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"265"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"266"," vez menos texto tal signos vitales","Neutral"
"267","cabe preguntar tantas mentiras parte cartera ","Neutral"
"268","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"269"," ecuador momento","Neutral"
"270","si despues tiempo pasado coronavirus","Neutral"
"271","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"272"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"273"," atencion oportuna si medicina sintomatica dando","Neutral"
"274"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"275","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"276","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"277","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"278"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"279"," paso resultados paciente","Neutral"
"280","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"281"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"282"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"283"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"284"," comento despidiendo mucha gente sector publico","Neutral"
"285"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"286"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"287"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"288","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"289"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"290"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"291"," vez menos texto tal signos vitales","Neutral"
"292","cabe preguntar tantas mentiras parte cartera ","Neutral"
"293","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"294"," ecuador momento","Neutral"
"295","si despues tiempo pasado coronavirus","Neutral"
"296","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"297"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"298"," atencion oportuna si medicina sintomatica dando","Neutral"
"299"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"300","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"301","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"302","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"303"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"304"," paso resultados paciente","Neutral"
"305","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"306"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"307"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"308"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"309"," comento despidiendo mucha gente sector publico","Neutral"
"310"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
