"","text","polarity"
"75","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"76","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"77","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"78"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"79"," paso resultados paciente","Positivo"
"80","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"81"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"82"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"83"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"84"," comento despidiendo mucha gente sector publico","Positivo"
"85"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"86"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"87"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"88","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"89"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"90"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"91"," vez menos texto tal signos vitales","Positivo"
"92","cabe preguntar tantas mentiras parte cartera ","Positivo"
"93","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"94"," ecuador momento","Positivo"
"95","si despues tiempo pasado coronavirus","Positivo"
"96","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"97"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"98"," atencion oportuna si medicina sintomatica dando","Positivo"
"99"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"100","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"101","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"102","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"103"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"104"," paso resultados paciente","Positivo"
"105","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"106"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"107"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"108"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"109"," comento despidiendo mucha gente sector publico","Positivo"
"110"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"111"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"112"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"113","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"114"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"115"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"116"," vez menos texto tal signos vitales","Positivo"
"117","cabe preguntar tantas mentiras parte cartera ","Positivo"
"118","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"119"," ecuador momento","Positivo"
"120","si despues tiempo pasado coronavirus","Positivo"
"121","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"122"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"123"," atencion oportuna si medicina sintomatica dando","Positivo"
"124"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"125","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"126","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"127","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"128"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"129"," paso resultados paciente","Positivo"
"130","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"131"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"132"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"133"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"134"," comento despidiendo mucha gente sector publico","Positivo"
"135"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"136"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"137"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"138","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"139"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"140"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"141"," vez menos texto tal signos vitales","Positivo"
"142","cabe preguntar tantas mentiras parte cartera ","Positivo"
"143","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"144"," ecuador momento","Positivo"
"145","si despues tiempo pasado coronavirus","Positivo"
"146","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"147"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"148"," atencion oportuna si medicina sintomatica dando","Positivo"
"149"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"150","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"151","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"152","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"153"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"154"," paso resultados paciente","Positivo"
"155","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"156"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"157"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"158"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"159"," comento despidiendo mucha gente sector publico","Positivo"
"160"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"161"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"162"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"163","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"164"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"165"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"166"," vez menos texto tal signos vitales","Positivo"
"167","cabe preguntar tantas mentiras parte cartera ","Positivo"
"168","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"169"," ecuador momento","Positivo"
"170","si despues tiempo pasado coronavirus","Positivo"
"171","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"172"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"173"," atencion oportuna si medicina sintomatica dando","Positivo"
"174"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"175","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"176","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"177","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"178"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"179"," paso resultados paciente","Positivo"
"180","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"181"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"182"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"183"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"184"," comento despidiendo mucha gente sector publico","Positivo"
"185"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"186"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"187"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"188","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"189"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"190"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"191"," vez menos texto tal signos vitales","Positivo"
"192","cabe preguntar tantas mentiras parte cartera ","Positivo"
"193","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"194"," ecuador momento","Positivo"
"195","si despues tiempo pasado coronavirus","Positivo"
"196","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"197"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"198"," atencion oportuna si medicina sintomatica dando","Positivo"
"199"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"200","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"201","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"202","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"203"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"204"," paso resultados paciente","Positivo"
"205","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"206"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"207"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"208"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"209"," comento despidiendo mucha gente sector publico","Positivo"
"210"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"211"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"212"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"213","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"214"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"215"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"216"," vez menos texto tal signos vitales","Positivo"
"217","cabe preguntar tantas mentiras parte cartera ","Positivo"
"218","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"219"," ecuador momento","Positivo"
"220","si despues tiempo pasado coronavirus","Positivo"
"221","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"222"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"223"," atencion oportuna si medicina sintomatica dando","Positivo"
"224"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"225","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"226","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"227","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"228"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"229"," paso resultados paciente","Positivo"
"230","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"231"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"232"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"233"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"234"," comento despidiendo mucha gente sector publico","Positivo"
"235"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"236"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"237"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"238","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"239"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"240"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"241"," vez menos texto tal signos vitales","Positivo"
"242","cabe preguntar tantas mentiras parte cartera ","Positivo"
"243","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"244"," ecuador momento","Positivo"
"245","si despues tiempo pasado coronavirus","Positivo"
"246","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"247"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"248"," atencion oportuna si medicina sintomatica dando","Positivo"
"249"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"250","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"251","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"252","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"253"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"254"," paso resultados paciente","Positivo"
"255","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"256"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"257"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"258"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"259"," comento despidiendo mucha gente sector publico","Positivo"
"260"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"261"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"262"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"263","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"264"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"265"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"266"," vez menos texto tal signos vitales","Positivo"
"267","cabe preguntar tantas mentiras parte cartera ","Positivo"
"268","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"269"," ecuador momento","Positivo"
"270","si despues tiempo pasado coronavirus","Positivo"
"271","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"272"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"273"," atencion oportuna si medicina sintomatica dando","Positivo"
"274"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"275","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"276","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"277","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"278"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"279"," paso resultados paciente","Positivo"
"280","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"281"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"282"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"283"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"284"," comento despidiendo mucha gente sector publico","Positivo"
"285"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"286"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"287"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"288","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"289"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"290"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"291"," vez menos texto tal signos vitales","Positivo"
"292","cabe preguntar tantas mentiras parte cartera ","Positivo"
"293","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"294"," ecuador momento","Positivo"
"295","si despues tiempo pasado coronavirus","Positivo"
"296","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"297"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"298"," atencion oportuna si medicina sintomatica dando","Positivo"
"299"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"300","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"301","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"302","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"303"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"304"," paso resultados paciente","Positivo"
"305","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"306"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"307"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"308"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"309"," comento despidiendo mucha gente sector publico","Positivo"
"310"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
